urgency_intent_score,otp_request_flag,impersonation_score,financial_demand_score,caller_spoof_flag,stir_shaken_risk,is_voip_line,fanout_ratio_1h,call_velocity_1h_norm,cross_account_target_norm,call_duration_norm,prior_complaints_norm,off_hours_flag,label
0.05,0,0.02,0.10,0,0.0,0,0.05,0.04,0.00,0.45,0.0,0,0
0.92,1,0.88,0.95,1,0.9,1,0.85,0.78,0.60,0.12,0.4,1,1
0.10,0,0.05,0.15,0,0.0,0,0.10,0.08,0.00,0.60,0.0,0,0
0.78,1,0.82,0.90,0,0.8,1,0.70,0.65,0.50,0.18,0.2,0,1
0.02,0,0.00,0.05,0,0.0,0,0.02,0.02,0.00,0.80,0.0,0,0
0.85,1,0.95,0.88,1,1.0,1,0.90,0.85,0.80,0.10,0.6,1,1
0.15,0,0.10,0.20,0,0.0,0,0.12,0.10,0.00,0.55,0.0,0,0
0.65,0,0.70,0.80,1,0.7,1,0.60,0.55,0.40,0.25,0.2,1,1
0.00,0,0.00,0.00,0,0.0,0,0.01,0.01,0.00,0.70,0.0,0,0
0.98,1,0.90,0.96,1,1.0,1,0.95,0.92,0.85,0.08,0.8,1,1
0.20,0,0.15,0.10,0,0.2,0,0.15,0.12,0.00,0.50,0.0,0,0
0.80,1,0.85,0.92,1,0.9,1,0.75,0.70,0.65,0.15,0.4,0,1
0.08,0,0.02,0.08,0,0.0,0,0.06,0.05,0.00,0.65,0.0,0,0
0.72,1,0.78,0.85,0,0.6,1,0.68,0.60,0.55,0.20,0.2,1,1
0.04,0,0.01,0.02,0,0.0,0,0.03,0.03,0.00,0.75,0.0,0,0
0.95,1,0.92,0.98,1,1.0,1,0.88,0.90,0.75,0.09,0.6,1,1
0.12,0,0.08,0.12,0,0.0,0,0.08,0.07,0.00,0.58,0.0,0,0
0.60,1,0.65,0.75,1,0.8,1,0.55,0.50,0.45,0.30,0.2,0,1
0.01,0,0.00,0.00,0,0.0,0,0.02,0.01,0.00,0.85,0.0,0,0
0.88,1,0.89,0.91,1,0.9,1,0.82,0.80,0.70,0.14,0.4,1,1
